Replay 1|false|1443
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,6.82867262735698e-10,-0.1983158439397812|-1.0322351862157575e-08,1,-4.7572921602068163e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.2899895596163446e-09,-0.1983158439397812|-1.9499756476193397e-08,1,-8.986909705299695e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.4003102011272972e-09,-0.1983158439397812|-2.116737896074028e-08,1,-9.755471808148286e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,8.126946893227682e-10,-0.1983158439397812|-1.2284851358401738e-08,1,-5.6617551535964594e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,2.2557870849038153e-10,-0.1983158439397812|-3.409912352481115e-09,1,-1.5715368562041476e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-6.541551744732033e-10,-0.1983158439397812|9.888277752168051e-09,1,4.557237076596721e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.532759252853566e-09,-0.1983158439397812|2.3169421936586332e-08,1,1.0678156314725129e-07|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.1290356427551274e-09,-0.1983158439397812|1.7066710711333144e-08,1,7.865583739885551e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-5.240993750099676e-10,-0.1983158439397812|7.92242271785426e-09,1,3.6512311396563746e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.2124021231407767e-10,-0.1983158439397812|1.8327436235310302e-09,1,8.446636279302311e-09|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,4.824011190507349e-10,-0.1983158439397812|-7.292016768190024e-09,1,-3.360691280818173e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.0852670984107249e-09,-0.1983158439397812|-1.640508173750277e-08,1,-7.560656456462311e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.4867491682224454e-09,-0.1983158439397812|-2.2473969352176937e-08,1,-1.0357643276392992e-07|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.1011178635556007e-09,-0.1983158439397812|-1.6644706946067345e-08,1,-7.671093982253296e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,2.2268974164685318e-10,-0.1983158439397812|-3.3662590492866684e-09,1,-1.55141872681952e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-3.6230354827360145e-10,-0.1983158439397812|5.476584519215066e-09,1,2.524006958992686e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.2388556847042764e-09,-0.1983158439397812|1.872668242697273e-08,1,8.630616576965622e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.3288921074661175e-09,-0.1983158439397812|2.0087714602823326e-08,1,9.257880861923695e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-5.221656440568267e-10,-0.1983158439397812|7.89319276606193e-09,1,3.637759959929099e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,8.197203332782621e-11,-0.1983158439397812|-1.2390222181579702e-09,1,-5.710290018612341e-09|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,4.842991008224828e-10,-0.1983158439397812|-7.3206618544929825e-09,1,-3.3738913884917565e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,8.862817146848556e-10,-0.1983158439397812|-1.339710387071591e-08,1,-6.17435844674219e-08|Running
